# CVN-73 coupling register — the paths a hazard can travel, authored.
# from,to,code[,symmetric]   deck penetrations are derived by the door from deck order and frame overlap
2-140-2-Q,2-150-2-Q,shared_bulkhead,yes
2-150-2-Q,2-156-2-L,shared_bulkhead,yes
2-156-2-L,2-160-2-Q,shared_bulkhead,yes
2-160-2-Q,2-166-2-Q,shared_bulkhead,yes
2-24-0-T,2-40-0-Q,shared_bulkhead,yes
2-40-0-Q,2-41-0-Q,shared_bulkhead,yes
2-48-0-T,2-62-0-L,shared_bulkhead,yes
2-62-0-L,2-72-0-T,shared_bulkhead,yes
2-96-0-T,2-100-0-Q,shared_bulkhead,yes
2-100-0-Q,2-106-0-Q,shared_bulkhead,yes
2-106-0-Q,2-120-0-T,shared_bulkhead,yes
2-120-0-T,2-126-0-Q,shared_bulkhead,yes
2-126-0-Q,2-132-0-L,shared_bulkhead,yes
2-132-0-L,2-144-0-T,shared_bulkhead,yes
2-144-0-T,2-152-0-Q,shared_bulkhead,yes
2-152-0-Q,2-160-0-Q,shared_bulkhead,yes
2-168-0-T,2-176-0-L,shared_bulkhead,yes
2-176-0-L,2-176-0-Q,shared_bulkhead,yes
2-192-0-T,2-196-0-Q,shared_bulkhead,yes
2-196-0-Q,2-212-0-Q,shared_bulkhead,yes
2-212-0-Q,2-216-0-T,shared_bulkhead,yes
2-216-0-T,2-220-0-Q,shared_bulkhead,yes
2-220-0-Q,2-224-0-Q,shared_bulkhead,yes
3-30-3-T,3-32-1-L,shared_bulkhead,yes
3-32-1-L,3-40-1-L,shared_bulkhead,yes
3-40-1-L,3-50-1-L,shared_bulkhead,yes
3-70-1-L,3-70-3-T,shared_bulkhead,yes
3-92-1-L,3-96-1-E,shared_bulkhead,yes
3-190-3-T,3-192-1-L,shared_bulkhead,yes
3-212-1-L,3-220-1-L,shared_bulkhead,yes
3-230-3-T,3-231-1-L,shared_bulkhead,yes
3-148-2-E,3-156-2-Q,shared_bulkhead,yes
3-156-2-Q,3-160-2-Q,shared_bulkhead,yes
3-160-2-Q,3-164-2-Q,shared_bulkhead,yes
3-192-2-E,3-192-2-L,shared_bulkhead,yes
3-202-2-L,3-204-2-E,shared_bulkhead,yes
3-204-2-E,3-212-2-L,shared_bulkhead,yes
3-212-2-L,3-220-2-L,shared_bulkhead,yes
3-60-0-A,3-72-0-A,shared_bulkhead,yes
3-100-0-T,3-108-0-A,shared_bulkhead,yes
3-108-0-A,3-120-0-L,shared_bulkhead,yes
3-148-0-L,3-152-0-Q,shared_bulkhead,yes
3-184-0-Q,3-185-0-L,shared_bulkhead,yes
4-74-0-Q,4-84-0-T,shared_bulkhead,yes
4-84-0-T,4-96-0-E,shared_bulkhead,yes
4-96-0-E,4-116-0-E,shared_bulkhead,yes
4-116-0-E,4-140-0-E,shared_bulkhead,yes
4-140-0-E,4-141-0-C,shared_bulkhead,yes
4-152-0-E,4-176-0-E,shared_bulkhead,yes
4-176-0-E,4-192-0-Q,shared_bulkhead,yes
4-60-1-M,4-63-3-Q,shared_bulkhead,yes
4-118-1-Q,4-130-1-E,shared_bulkhead,yes
4-154-1-Q,4-166-1-E,shared_bulkhead,yes
4-201-3-Q,4-204-1-Q,shared_bulkhead,yes
4-204-1-Q,4-212-3-Q,shared_bulkhead,yes
4-220-1-J,4-224-3-Q,shared_bulkhead,yes
4-224-3-Q,4-228-1-M,shared_bulkhead,yes
4-228-1-M,4-236-1-E,shared_bulkhead,yes
4-236-1-E,4-236-3-Q,shared_bulkhead,yes
4-60-2-M,4-63-4-Q,shared_bulkhead,yes
4-102-2-E,4-110-2-W,shared_bulkhead,yes
4-160-2-Q,4-164-2-Q,shared_bulkhead,yes
4-201-4-Q,4-204-2-Q,shared_bulkhead,yes
4-204-2-Q,4-212-4-Q,shared_bulkhead,yes
4-220-2-J,4-224-4-Q,shared_bulkhead,yes
4-224-4-Q,4-228-2-M,shared_bulkhead,yes
4-228-2-M,4-236-2-E,shared_bulkhead,yes
4-236-2-E,4-237-4-Q,shared_bulkhead,yes
5-96-0-E,5-116-0-E,shared_bulkhead,yes
5-116-0-E,5-140-0-E,shared_bulkhead,yes
5-140-0-E,5-152-0-E,shared_bulkhead,yes
5-152-0-E,5-176-0-E,shared_bulkhead,yes
5-176-0-E,5-192-0-Q,shared_bulkhead,yes
5-54-3-V,5-60-1-M,shared_bulkhead,yes
5-60-1-M,5-66-3-V,shared_bulkhead,yes
5-196-1-Q,5-200-3-V,shared_bulkhead,yes
5-212-1-Q,5-212-3-V,shared_bulkhead,yes
5-224-3-V,5-228-1-M,shared_bulkhead,yes
5-228-1-M,5-236-3-V,shared_bulkhead,yes
5-54-4-V,5-60-2-M,shared_bulkhead,yes
5-60-2-M,5-67-4-V,shared_bulkhead,yes
5-196-2-Q,5-201-4-V,shared_bulkhead,yes
5-212-2-Q,5-213-4-V,shared_bulkhead,yes
5-224-4-V,5-228-2-M,shared_bulkhead,yes
5-228-2-M,5-236-4-V,shared_bulkhead,yes
6-52-3-V,6-56-1-J,shared_bulkhead,yes
6-216-1-J,6-219-3-V,shared_bulkhead,yes
6-53-4-V,6-56-2-J,shared_bulkhead,yes
6-216-2-J,6-218-4-V,shared_bulkhead,yes
7-32-1-J,7-48-1-J,shared_bulkhead,yes
7-48-1-J,7-64-1-J,shared_bulkhead,yes
7-64-1-J,7-80-1-J,shared_bulkhead,yes
7-80-1-J,7-96-1-J,shared_bulkhead,yes
7-180-1-W,7-196-1-W,shared_bulkhead,yes
7-196-1-W,7-212-1-W,shared_bulkhead,yes
7-212-1-W,7-228-1-W,shared_bulkhead,yes
7-32-2-J,7-48-2-J,shared_bulkhead,yes
7-48-2-J,7-64-2-J,shared_bulkhead,yes
7-64-2-J,7-80-2-J,shared_bulkhead,yes
7-80-2-J,7-96-2-J,shared_bulkhead,yes
7-180-2-W,7-196-2-W,shared_bulkhead,yes
7-196-2-W,7-212-2-W,shared_bulkhead,yes
7-212-2-W,7-228-2-W,shared_bulkhead,yes
7-116-0-E,7-140-0-V,shared_bulkhead,yes
7-140-0-V,7-152-0-E,shared_bulkhead,yes
8-36-1-W,8-56-1-W,shared_bulkhead,yes
8-56-1-W,8-76-1-W,shared_bulkhead,yes
8-76-1-W,8-96-1-W,shared_bulkhead,yes
8-176-1-V,8-196-1-V,shared_bulkhead,yes
8-196-1-V,8-216-1-V,shared_bulkhead,yes
8-36-2-W,8-56-2-W,shared_bulkhead,yes
8-56-2-W,8-76-2-W,shared_bulkhead,yes
8-76-2-W,8-96-2-W,shared_bulkhead,yes
8-176-2-V,8-196-2-V,shared_bulkhead,yes
8-196-2-V,8-216-2-V,shared_bulkhead,yes
4-96-0-E,2-160-2-Q,exhaust_trunk,no
5-96-0-E,4-176-0-E,exhaust_trunk,no
3-148-2-E,2-160-0-Q,electrical_bus,no
3-148-2-E,2-160-2-Q,electrical_bus,no
3-148-2-E,3-128-2-E,electrical_bus,no
3-148-2-E,3-156-2-Q,electrical_bus,no
3-148-2-E,3-172-0-M,electrical_bus,no
3-148-2-E,3-172-1-E,electrical_bus,no
3-148-2-E,3-184-0-Q,electrical_bus,no
3-148-2-E,4-120-4-Q,electrical_bus,no
3-148-2-E,4-130-1-E,electrical_bus,no
4-100-1-E,3-96-1-E,electrical_bus,no
4-100-1-E,3-128-2-E,electrical_bus,no
4-100-1-E,4-72-3-Q,electrical_bus,no
4-100-1-E,4-72-4-Q,electrical_bus,no
4-100-1-E,4-74-0-Q,electrical_bus,no
4-100-1-E,4-83-3-Q,electrical_bus,no
4-100-1-E,4-83-4-Q,electrical_bus,no
4-100-1-E,4-92-3-Q,electrical_bus,no
4-100-1-E,4-92-4-Q,electrical_bus,no
4-102-2-E,3-96-1-E,electrical_bus,no
4-102-2-E,3-128-2-E,electrical_bus,no
4-102-2-E,4-72-3-Q,electrical_bus,no
4-102-2-E,4-72-4-Q,electrical_bus,no
4-102-2-E,4-74-0-Q,electrical_bus,no
4-102-2-E,4-83-3-Q,electrical_bus,no
4-102-2-E,4-83-4-Q,electrical_bus,no
4-102-2-E,4-92-3-Q,electrical_bus,no
4-102-2-E,4-92-4-Q,electrical_bus,no
4-180-2-E,3-148-2-E,electrical_bus,no
4-180-2-E,3-156-2-Q,electrical_bus,no
4-180-2-E,3-172-0-M,electrical_bus,no
4-180-2-E,3-172-1-E,electrical_bus,no
4-180-2-E,3-184-0-Q,electrical_bus,no
4-180-2-E,3-192-2-E,electrical_bus,no
4-180-2-E,3-204-2-E,electrical_bus,no
4-180-2-E,4-149-2-Q,electrical_bus,no
4-180-2-E,4-160-2-Q,electrical_bus,no
